dataset_source,scenario,instance_id,seed,solver_calls,total_travel,total_lateness,unserved,served_ratio,objective,runtime_total_seconds,route_nervousness,feasible
svrpbench,static,svrp_000,0,1,58.0,0.0,4,0.96,40058.0,4.999839083000552,0.0,True
svrpbench,continuous,svrp_000,0,11,58.0,0.0,4,0.96,40058.0,55.01551570696756,0.0,True
svrpbench,aet_rag,svrp_000,42,3,58.0,0.0,4,0.96,40058.0,15.004477876063902,0.3333333333333333,True
svrpbench,static,svrp_001,0,1,45.0,0.0,4,0.96,40045.0,4.999721458996646,0.0,True
svrpbench,continuous,svrp_001,0,11,45.0,0.0,4,0.96,40045.0,55.01100875099655,0.0,True
svrpbench,aet_rag,svrp_001,42,4,45.0,0.0,4,0.96,40045.0,20.012534584035166,0.4444444444444444,True
solomon,static,sol_r101,0,1,1629.0,0.0,0,1.0,2629.0,5.000396416988224,0.0,True
solomon,continuous,sol_r101,0,11,1629.0,0.0,0,1.0,2629.0,55.00638887408422,0.0,True
solomon,aet_rag,sol_r101,42,2,1630.0,0.0,0,1.0,2630.0,10.000382333993912,0.1111111111111111,True
solomon,static,sol_r102,0,1,1445.0,0.0,0,1.0,2445.0,5.003897083050106,0.0,True
solomon,continuous,sol_r102,0,11,1449.0,0.0,0,1.0,2449.0,55.01517149998108,0.0,True
solomon,aet_rag,sol_r102,42,2,1449.0,0.0,0,1.0,2449.0,10.002978540956974,0.1111111111111111,True
euro_neurips_2022,static,enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12,0,1,2351.0,0.0,1,0.996,14490.0,4.999870125029702,0.0,True
euro_neurips_2022,continuous,enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12,0,11,2351.0,0.0,1,0.996,14490.0,55.00484512397088,0.0,True
euro_neurips_2022,aet_rag,enrips_ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12,42,7,2351.0,0.0,1,0.996,14490.0,35.00221949996194,0.6666666666666666,True
euro_neurips_2022,static,enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22,0,1,3246.0,0.0,35,0.86,355127.0,5.000501000031363,0.0,True
euro_neurips_2022,continuous,enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22,0,11,3243.0,0.0,35,0.86,355124.0,55.00300987705123,0.0,True
euro_neurips_2022,aet_rag,enrips_ORTEC-VRPTW-ASYM-01829532-d1-n324-k22,42,5,3243.0,0.0,35,0.86,355124.0,25.003482416039333,0.5555555555555556,True
synthetic,static,syn_n50_000,0,1,2326.0,0.0,1,0.98,12595.0,5.000641499995254,0.0,True
synthetic,continuous,syn_n50_000,0,11,2358.0,0.0,1,0.98,12627.0,55.0077297919197,0.0,True
synthetic,aet_rag,syn_n50_000,42,3,2329.0,0.0,1,0.98,12598.0,15.0035634150845,0.4444444444444444,True
synthetic,static,syn_n50_001,0,1,2316.0,0.0,0,1.0,2606.0,5.000616249977611,0.0,True
synthetic,continuous,syn_n50_001,0,11,2316.0,0.0,0,1.0,2606.0,55.00894862500718,0.0,True
synthetic,aet_rag,syn_n50_001,42,3,2316.0,0.0,0,1.0,2606.0,15.001100792957004,0.4444444444444444,True
